rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
9,ICP/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
10,LDO/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
11,ZEC/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
12,AIOZ/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
13,MOODENG/USDT,3,Weak,50,1h+,2,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
14,EDGEN/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
15,AI16Z/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
16,W/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
17,SYRUP/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
18,INIT/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
19,NEIROCTO/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
20,NAKA/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
1,USDC/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
2,PRO/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
3,TON/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
4,LAUNCHCOIN/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
5,LDO/USDT,4,Watch,50,4h+,2,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
6,KAS/USDT,4,Watch,50,4h+,2,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
7,NXPC/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
8,JASMY/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
9,OMNI/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
10,SOL/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
11,HYPE/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
12,SUI/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
13,XMR/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
14,PEPE/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
15,DOGE/USDT,3,Weak,50,4h+,2,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
16,UNI/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
17,AAVE/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
18,DOT/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
19,FET/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
20,TRX/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
1,SOL/USDT,4,Watch,50,4h+,2,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
2,HYPE/USDT,4,Watch,50,4h+,2,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
3,CRV/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
4,BRETT/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
5,ETH/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
6,PEPE/USDT,3,Weak,50,4h+,2,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
7,AVAX/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
8,LINK/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
9,TON/USDT,3,Weak,50,1h+,2,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
10,ZBCN/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
11,TIA/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
